,close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,stock_code,volume
269,22452.55,2025-03-12 13:44:00,NFO,27-MAR-2025,22458.45,22445.6,22445.6,17825550,Futures,NIFTY,4500
270,22459.7,2025-03-12 13:45:00,NFO,27-MAR-2025,22462.0,22452.0,22452.55,17825550,Futures,NIFTY,3900
271,22452.7,2025-03-12 13:46:00,NFO,27-MAR-2025,22459.7,22452.0,22459.7,17826000,Futures,NIFTY,2625
272,22450.5,2025-03-12 13:47:00,NFO,27-MAR-2025,22452.7,22445.05,22452.7,17826000,Futures,NIFTY,5475
273,22459.0,2025-03-12 13:48:00,NFO,27-MAR-2025,22459.9,22450.15,22450.5,17826000,Futures,NIFTY,3450
274,22464.0,2025-03-12 13:49:00,NFO,27-MAR-2025,22464.95,22456.2,22456.2,17822325,Futures,NIFTY,1950
275,22460.95,2025-03-12 13:50:00,NFO,27-MAR-2025,22464.0,22460.0,22464.0,17822325,Futures,NIFTY,2550
276,22456.0,2025-03-12 13:51:00,NFO,27-MAR-2025,22460.95,22456.0,22459.7,17822325,Futures,NIFTY,6300
277,22445.6,2025-03-12 13:52:00,NFO,27-MAR-2025,22456.0,22445.0,22456.0,17824950,Futures,NIFTY,5625
278,22449.0,2025-03-12 13:53:00,NFO,27-MAR-2025,22450.0,22445.0,22445.6,17824950,Futures,NIFTY,5775
279,22440.05,2025-03-12 13:54:00,NFO,27-MAR-2025,22449.0,22438.8,22449.0,17824950,Futures,NIFTY,8925
280,22448.9,2025-03-12 13:55:00,NFO,27-MAR-2025,22449.0,22439.0,22440.0,17824800,Futures,NIFTY,3900
281,22451.9,2025-03-12 13:56:00,NFO,27-MAR-2025,22455.0,22445.0,22449.0,17824800,Futures,NIFTY,6450
282,22455.0,2025-03-12 13:57:00,NFO,27-MAR-2025,22455.0,22445.1,22450.3,17824800,Futures,NIFTY,4050
283,22449.55,2025-03-12 13:58:00,NFO,27-MAR-2025,22458.8,22448.4,22455.0,17825700,Futures,NIFTY,7950
284,22457.95,2025-03-12 13:59:00,NFO,27-MAR-2025,22457.95,22448.4,22455.0,17825700,Futures,NIFTY,2400
285,22462.9,2025-03-12 14:00:00,NFO,27-MAR-2025,22469.5,22454.0,22454.0,17825700,Futures,NIFTY,9450
286,22464.0,2025-03-12 14:01:00,NFO,27-MAR-2025,22469.55,22460.0,22462.75,17827350,Futures,NIFTY,3450
287,22473.65,2025-03-12 14:02:00,NFO,27-MAR-2025,22474.0,22464.0,22464.0,17827350,Futures,NIFTY,6600
288,22472.0,2025-03-12 14:03:00,NFO,27-MAR-2025,22472.0,22465.1,22470.1,17827350,Futures,NIFTY,6450
289,22472.0,2025-03-12 14:04:00,NFO,27-MAR-2025,22472.0,22464.0,22470.0,17823525,Futures,NIFTY,5475
290,22470.95,2025-03-12 14:05:00,NFO,27-MAR-2025,22472.0,22465.05,22472.0,17823525,Futures,NIFTY,2700
291,22474.0,2025-03-12 14:06:00,NFO,27-MAR-2025,22474.0,22468.0,22470.95,17823525,Futures,NIFTY,6525
292,22473.0,2025-03-12 14:07:00,NFO,27-MAR-2025,22479.0,22473.0,22474.0,17820750,Futures,NIFTY,18000
293,22475.0,2025-03-12 14:08:00,NFO,27-MAR-2025,22475.0,22470.0,22473.0,17820750,Futures,NIFTY,1950
294,22478.0,2025-03-12 14:09:00,NFO,27-MAR-2025,22478.0,22475.0,22475.0,17820750,Futures,NIFTY,2550
295,22476.0,2025-03-12 14:10:00,NFO,27-MAR-2025,22478.0,22472.3,22478.0,17819325,Futures,NIFTY,4575
296,22477.1,2025-03-12 14:11:00,NFO,27-MAR-2025,22480.0,22476.0,22476.0,17819325,Futures,NIFTY,8175
297,22478.0,2025-03-12 14:12:00,NFO,27-MAR-2025,22480.0,22474.2,22480.0,17819325,Futures,NIFTY,3600
298,22472.25,2025-03-12 14:13:00,NFO,27-MAR-2025,22478.0,22472.25,22478.0,17814675,Futures,NIFTY,2775
299,22482.0,2025-03-12 14:14:00,NFO,27-MAR-2025,22483.0,22472.0,22472.0,17814675,Futures,NIFTY,7650
300,22480.95,2025-03-12 14:15:00,NFO,27-MAR-2025,22483.0,22474.95,22482.95,17814675,Futures,NIFTY,5700
301,22505.0,2025-03-12 14:16:00,NFO,27-MAR-2025,22505.0,22477.5,22477.5,17810850,Futures,NIFTY,43050
302,22503.0,2025-03-12 14:17:00,NFO,27-MAR-2025,22509.55,22500.0,22505.0,17810850,Futures,NIFTY,28200
303,22505.0,2025-03-12 14:18:00,NFO,27-MAR-2025,22508.1,22500.65,22502.4,17810850,Futures,NIFTY,6450
304,22510.0,2025-03-12 14:19:00,NFO,27-MAR-2025,22510.0,22502.0,22505.0,17793300,Futures,NIFTY,16125
305,22510.1,2025-03-12 14:20:00,NFO,27-MAR-2025,22520.7,22510.0,22513.0,17793300,Futures,NIFTY,49125
306,22500.0,2025-03-12 14:21:00,NFO,27-MAR-2025,22511.9,22500.0,22511.3,17793300,Futures,NIFTY,15075
307,22498.15,2025-03-12 14:22:00,NFO,27-MAR-2025,22503.1,22498.05,22501.0,17760000,Futures,NIFTY,10500
308,22503.25,2025-03-12 14:23:00,NFO,27-MAR-2025,22506.0,22498.0,22498.15,17760000,Futures,NIFTY,11700
